Reference, Value, Footprint, Datasheet, Field4, Field5, Field6, Field8, Fieldname, manf, Field7
"U2","4N25","Housings_DIP:DIP-6_W7.62mm",""
"R6","10KR","Resistors_SMD:R_0603",""
"U5","ESP8266-12E/ESP-12E","Connectors_JAE:JAE_LY20-08P-2T_2x04x2.00mm_Straight","","Unavailable","None","None","ESP8266-12E/ESP-12E","","",""
"R2","2KR","Resistors_SMD:R_0603","","","","","","Value","RN731JTTD2101D25",""
"R7","10KR","Resistors_SMD:R_0603",""
"U3","4N25","Housings_DIP:DIP-6_W7.62mm",""
"U1","4N25","Housings_DIP:DIP-6_W7.62mm",""
"U4","4N25","Housings_DIP:DIP-6_W7.62mm",""
"R1","2KR","Resistors_SMD:R_0603",""
"R5","10KR","Resistors_SMD:R_0603",""
"R3","2KR","Resistors_SMD:R_0603",""
"R8","10KR","Resistors_SMD:R_0603",""
"U7","DS3231MZ+","DS3231MZ_:SOIC8_150MIL","Maxim Integrated","Real Time Clock Serial-I2C +/-5ppm SOIC8","SOIC-8 Maxim Integrated","DS3231MZ+","Good","","","5.13 USD"
"R11","4.7KR","Resistors_SMD:R_0603",""
"R13","4.7KR","Resistors_SMD:R_0603",""
"BT2","3.3V","Connectors:PINHEAD1-2",""
"BT1","3.3V","Battery_Holders:Keystone_1058_1x2032-CoinCell",""
"J1","USB_B","Connectors_USB:USB_Micro-B_Wuerth-629105150521",""
"U6","LM1117-3.3","TO_SOT_Packages_SMD:SOT-223-3_TabPin2",""
"C2","10uCP","Resistors_SMD:R_0603",""
"C1","10uCP","Resistors_SMD:R_0603",""
"D1","LED_Small","LEDs:LED_0603",""
"R9","100R","Resistors_SMD:R_0603",""
"R4","2KR","Resistors_SMD:R_0603",""
"IN1","Conn_01x01_Male","PADS:PAD_5x3mm",""
"IN2","Conn_01x01_Male","PADS:PAD_5x3mm",""
"IN3","Conn_01x01_Male","PADS:PAD_5x3mm",""
"IN4","Conn_01x01_Male","PADS:PAD_5x3mm",""
"COMUN1","Conn_01x01_Male","PADS:PAD_5x3mm",""
"COMUN2","Conn_01x01_Male","PADS:PAD_5x3mm",""
